,bn,en,gu,hi,ml,mr,pa,ta,te,ur
bn,,22.13,26.34,31.72,8.28,18.62,24.45,7.12,13.19,26.1
en,15.13,,24.82,30.42,6.1,17.12,23.05,5.52,10.44,24.29
gu,22.91,30.32,,54.47,8.88,28.38,42.12,8.38,15.64,45.56
hi,24.26,31.19,53.2,,9.44,32.06,54.55,9.61,17.67,60.13
ml,14.34,18.01,20.13,24.49,,14.04,18.88,6.41,10.82,20.88
mr,20.7,26.83,37.12,43.62,8.5,,33.0,7.47,14.11,35.2
pa,22.42,31.47,49.28,68.46,9.21,29.17,,8.92,16.27,54.94
ta,10.77,14.36,16.53,20.82,5.76,11.22,16.63,,8.6,17.65
te,16.02,21.04,25.9,29.9,7.12,16.44,23.34,6.8,,25.01
ur,19.8,28.18,42.6,56.41,8.54,24.33,43.23,8.7,14.39,
